,feature,importance
199,OS_TOTAL_SCHED_CAP_RTO_wow_change_pct,0.00020811842
387,PJM_PSEG_DACONG_lag48,0.00020744214
319,reserve_stress_score,0.00020691751
256,OS_CALC_RESERVE_AP_lag24,0.00020576915
219,OS_UNSCHED_STM_CAP_COMED_wow_change_pct,0.0002050801
390,PJM_PSEG_DACONG_ma7d,0.00020068737
202,OS_UNSCHED_STM_CAP_RTO_lag168,0.00019591927
373,PJM_WESTERN_HUB_DACONG_std7d,0.00019521434
164,load_ramp_rate_1h,0.00019499166
70,temp_avg_lag24,0.00019443745
415,PJM_PECO_DACONG_std7d,0.00019415158
140,peco_load_share_forecast,0.00019260353
414,PJM_PECO_DACONG_ma7d,0.00019236638
288,OS_CALC_RESERVE_DUQUESNE_lag168,0.00019078174
396,PJM_AEP_DAYTON_HUB_DACONG_ma7d,0.00019016626
44,day,0.00018921721
41,PJM_SOLARFCST_HOURLY,0.0001875832
418,PJM_BGE_DACONG_lag168,0.00018709066
155,nyiso_pjm_load_ratio,0.000186973
277,OS_CALC_RESERVE_DEOK_lag48,0.00018609213
246,OS_CALC_RESERVE_MIDATLANTIC_lag24,0.00018382422
212,OS_UNSCHED_STM_CAP_DOMINION_lag168,0.00018370738
192,GAS_TCO_lag7d,0.00018350284
124,load_forecast_error_abs,0.00018205485
314,eastern_reserves_lag24,0.0001803757
272,OS_CALC_RESERVE_DAYTON_lag48,0.00017789553
215,OS_UNSCHED_STM_CAP_COMED_lag24,0.00017749552
163,load_ramp_4h,0.00017713018
123,load_forecast_error_pct,0.0001766901
291,OS_CALC_RESERVE_EKPC_lag24,0.00017511277
116,west_nillinois_spread_lag24,0.0001747271
153,western_load_forecast,0.00017369114
360,price_std48,0.00017343469
322,reserve_volatility_168h,0.00017335928
32,PJM_COMED_LOAD_FORECAST,0.0001698161
178,eastern_avg_price_lag24,0.00016881782
368,PJM_WESTERN_HUB_DACONG_lag24,0.000166063
15,DEWPOINT_Dayton,0.00016478974
261,OS_CALC_RESERVE_ATSI_lag24,0.00016404696
400,PJM_N_ILLINOIS_HUB_DACONG_lag168,0.00016230164
278,OS_CALC_RESERVE_DEOK_lag168,0.00016162987
357,price_ma24,0.00016135373
8,CLOUD_COVER_Baltimore,0.00016080383
349,price_lag_720h,0.00016018066
183,max_price_spread_lag24,0.00015932288
270,OS_CALC_RESERVE_COMED_change_pct_24h,0.00015748262
238,min_unsched_zone_capacity,0.00015692262
122,load_forecast_error,0.00015670227
293,OS_CALC_RESERVE_EKPC_lag168,0.00015594078
43,hour,0.00015462463
243,OS_OPERATING_RESERVE_RTO_lag168,0.0001538026
10,CLOUD_COVER_Richmond,0.00015196494
267,OS_CALC_RESERVE_COMED_lag48,0.00015172081
379,PJM_EASTERN_HUB_DACONG_std7d,0.00015088884
217,OS_UNSCHED_STM_CAP_COMED_lag168,0.00015075156
263,OS_CALC_RESERVE_ATSI_lag168,0.0001499681
299,reserve_percentile_30d,0.00014962161
57,is_peak,0.0001490992
350,net_load_lag24,0.00014874381
300,reserve_below_10pct,0.00014801168
382,PJM_DOMINION_HUB_DACONG_lag168,0.00014764948
253,OS_CALC_RESERVE_AEP_lag168,0.00014759046
378,PJM_EASTERN_HUB_DACONG_ma7d,0.00014733977
404,PJM_COMED_DACONG_lag24,0.00014710234
398,PJM_N_ILLINOIS_HUB_DACONG_lag24,0.00014630388
310,DEOK_reserve_stress,0.0001459449
62,temp_min,0.0001459091
268,OS_CALC_RESERVE_COMED_lag168,0.0001458632
289,OS_CALC_RESERVE_DUQUESNE_change_24h,0.00014487708
218,OS_UNSCHED_STM_CAP_COMED_wow_change,0.0001433381
315,western_reserves_lag24,0.00014256971
173,capacity_stress,0.00014235348
50,hour_cos,0.00014009149
352,solar_gen_lag24,0.00013918206
137,dominion_load_share_forecast,0.00013765282
149,load_imbalance_forecast,0.00013742733
279,OS_CALC_RESERVE_DEOK_change_24h,0.00013427317
91,PJM_DOMINION_HUB_DA_LMP_LAG48,0.00013314644
286,OS_CALC_RESERVE_DUQUESNE_lag24,0.00013192538
13,DEWPOINT_Chicago_Midway,0.00013170516
386,PJM_PSEG_DACONG_lag24,0.00013109054
235,unsched_capacity_std,0.00013001461
265,OS_CALC_RESERVE_ATSI_change_pct_24h,0.00012869008
99,PJM_N_ILLINOIS_HUB_DA_LMP_LAG24,0.00012813375
422,west_congestion_lag24,0.00012794118
421,PJM_BGE_DACONG_std7d,0.00012608942
312,DUQUESNE_reserve_stress,0.00012489205
112,DA_LMP_WEST_HUB_LAG48,0.00012425489
305,AEP_reserve_stress,0.00012256055
198,OS_TOTAL_SCHED_CAP_RTO_wow_change,0.00012079517
145,bge_forecast_error_lag24,0.00012069909
85,PJM_WESTERN_HUB_DA_LMP_LAG48,0.00012014502
36,PJM_PECO_LOAD_FORECAST,0.000118953
158,miso_pjm_load_ratio,0.000117482276
401,PJM_N_ILLINOIS_HUB_DACONG_wow_change,0.00011672384
87,PJM_EASTERN_HUB_DA_LMP_LAG24,0.000116687916
321,reserve_volatility_24h,0.0001164349
364,price_std168,0.000113698195
355,system_stress_score_lag168,0.00011354316
287,OS_CALC_RESERVE_DUQUESNE_lag48,0.0001130867
216,OS_UNSCHED_STM_CAP_COMED_lag48,0.000112617185
248,OS_CALC_RESERVE_MIDATLANTIC_lag168,0.00011159668
290,OS_CALC_RESERVE_DUQUESNE_change_pct_24h,0.000111363945
301,reserve_rapid_decline,0.0001111064
353,solar_gen_lag168,0.00011033827
115,west_dom_spread_lag24,0.000109738954
63,temp_spread,0.0001094344
370,PJM_WESTERN_HUB_DACONG_lag168,0.00010891397
154,east_west_load_ratio_forecast,0.00010884844
358,price_std24,0.00010774044
362,price_std72,0.00010602472
340,is_month_start,0.00010582766
413,PJM_PECO_DACONG_wow_change,0.00010551555
132,aep_forecast_error,0.00010376011
156,nyiso_load_lag24,0.000103591665
424,high_congestion_west,0.000102515616
131,aep_load_share_forecast,0.000101163125
46,dayofweek,0.00010011329
323,high_reserve_volatility,9.890112e-05
42,PJM_HRLY_SOLAR_FCST_BTM,9.835062e-05
89,PJM_EASTERN_HUB_DA_LMP_LAG168,9.776172e-05
427,congestion_dispersion_lag24,9.469062e-05
93,PJM_PSEG_DA_LMP_LAG24,9.446705e-05
94,PJM_PSEG_DA_LMP_LAG48,9.402329e-05
78,humidity_index,9.099739e-05
106,PJM_PECO_DA_LMP_LAG48,9.098549e-05
412,PJM_PECO_DACONG_lag168,9.027894e-05
148,penelec_forecast_error_lag24,8.965675e-05
318,tight_reserve_generation,8.950677e-05
376,PJM_EASTERN_HUB_DACONG_lag168,8.908377e-05
135,pseg_forecast_error,8.9049005e-05
410,PJM_PECO_DACONG_lag24,8.7479806e-05
166,evening_ramp,8.638069e-05
389,PJM_PSEG_DACONG_wow_change,8.493117e-05
375,PJM_EASTERN_HUB_DACONG_lag48,8.460133e-05
423,west_congestion_lag168,8.42011e-05
119,solar_ramp_2h,8.3483836e-05
307,ATSI_reserve_stress,8.337512e-05
374,PJM_EASTERN_HUB_DACONG_lag24,8.3367915e-05
426,system_avg_congestion_lag24,8.285009e-05
399,PJM_N_ILLINOIS_HUB_DACONG_lag48,8.233624e-05
133,aep_forecast_error_lag24,8.152847e-05
121,solar_penetration,8.1396e-05
136,pseg_forecast_error_lag24,8.004553e-05
308,COMED_reserve_stress,7.9408106e-05
