,feature,importance
62,temp_min,0.00016038484
234,regional_unsched_total_lag24,0.00016028923
361,temp_avg_lag168,0.0001594702
409,PJM_COMED_DACONG_lag24,0.00015869465
275,OS_CALC_RESERVE_COMED_change_pct_24h,0.00015784573
357,solar_gen_lag24,0.00015782114
317,DUQUESNE_reserve_stress,0.00015759659
104,PJM_COMED_DA_LMP_LAG168,0.00015722252
231,unsched_capacity_ratio,0.00015704446
256,OS_CALC_RESERVE_AEP_lag24,0.00015696787
134,pseg_load_share_forecast,0.00015681963
59,is_winter,0.00015635802
153,western_load_forecast,0.00015627716
354,price_lag_720h,0.00015579327
293,OS_CALC_RESERVE_DUQUESNE_lag168,0.00015463788
373,PJM_WESTERN_HUB_DACONG_lag24,0.00015242469
320,western_reserves_lag24,0.00015239512
257,OS_CALC_RESERVE_AEP_lag48,0.00015238518
55,is_weekend,0.00015093297
268,OS_CALC_RESERVE_ATSI_lag168,0.0001501981
383,PJM_EASTERN_HUB_DACONG_ma7d,0.00014860016
65,cooling_degrees,0.00014835564
122,load_forecast_error,0.00014779149
70,temp_avg_lag24,0.00014727768
281,OS_CALC_RESERVE_DEOK_lag24,0.00014629537
327,reserve_volatility_168h,0.00014592163
426,PJM_BGE_DACONG_std7d,0.00014562755
32,PJM_COMED_LOAD_FORECAST,0.00014474617
36,PJM_PECO_LOAD_FORECAST,0.00014237258
253,OS_CALC_RESERVE_MIDATLANTIC_lag168,0.00014010225
278,OS_CALC_RESERVE_DAYTON_lag168,0.00013965346
18,PRECIP_Washington_DC,0.00013954098
219,OS_UNSCHED_STM_CAP_COMED_wow_change_pct,0.00013900423
129,comed_forecast_error,0.00013796415
402,PJM_AEP_DAYTON_HUB_DACONG_std7d,0.0001358641
282,OS_CALC_RESERVE_DEOK_lag48,0.00013579498
396,PJM_PSEG_DACONG_std7d,0.00013570821
6,CLOUD_COVER_Washington_DC,0.0001337782
145,bge_forecast_error_lag24,0.0001321352
363,price_std24,0.00013202096
217,OS_UNSCHED_STM_CAP_COMED_lag168,0.00013192867
103,PJM_COMED_DA_LMP_LAG48,0.00013108102
298,OS_CALC_RESERVE_EKPC_lag168,0.0001299927
50,hour_cos,0.00012845428
295,OS_CALC_RESERVE_DUQUESNE_change_pct_24h,0.00012824502
172,reserve_margin_proxy,0.00012744784
367,price_std72,0.00012730656
94,PJM_PSEG_DA_LMP_LAG48,0.0001272758
89,PJM_EASTERN_HUB_DA_LMP_LAG168,0.00012627717
427,west_congestion_lag24,0.00012614884
207,OS_UNSCHED_STM_CAP_MIDATLANTIC_lag168,0.00012568604
393,PJM_PSEG_DACONG_lag168,0.0001249222
405,PJM_N_ILLINOIS_HUB_DACONG_lag168,0.00012471536
105,PJM_PECO_DA_LMP_LAG24,0.00012145454
45,month,0.00012127304
99,PJM_N_ILLINOIS_HUB_DA_LMP_LAG24,0.00012024025
132,aep_forecast_error,0.00011966332
109,PJM_BGE_DA_LMP_LAG48,0.000119599325
206,OS_UNSCHED_STM_CAP_MIDATLANTIC_lag48,0.000118119555
119,solar_ramp_2h,0.000117325595
93,PJM_PSEG_DA_LMP_LAG24,0.00011722231
276,OS_CALC_RESERVE_DAYTON_lag24,0.00011646458
323,tight_reserve_generation,0.000115775896
127,load_forecast_bias_7d,0.000115734576
403,PJM_N_ILLINOIS_HUB_DACONG_lag24,0.00011433765
166,evening_ramp,0.0001122948
356,net_load_lag168,0.000112176764
47,quarter,0.00011143606
125,load_forecast_error_lag24,0.000111398826
431,system_avg_congestion_lag24,0.00010942037
156,nyiso_load_lag24,0.000108306085
78,humidity_index,0.00010819815
413,PJM_COMED_DACONG_ma7d,0.000107426196
310,AEP_reserve_stress,0.00010683347
42,PJM_HRLY_SOLAR_FCST_BTM,0.000104641025
326,reserve_volatility_24h,0.00010372552
406,PJM_N_ILLINOIS_HUB_DACONG_wow_change,0.000103338454
13,DEWPOINT_Chicago_Midway,0.000103303726
305,reserve_below_10pct,0.00010192568
424,PJM_BGE_DACONG_wow_change,0.00010099937
126,load_forecast_error_lag168,0.00010034512
384,PJM_EASTERN_HUB_DACONG_std7d,9.882703e-05
365,price_std48,9.83389e-05
135,pseg_forecast_error,9.828851e-05
40,MISO_LOAD_FORECAST_DA,9.80931e-05
